function,dimension,p_sigma_mode,initial_sigma,seed,best_f,evaluations,reached_target
sphere,10,zero,5.0,9,9.979630422750126e-09,1531,True
sphere,10,zero,5.0,10,9.61598350180612e-09,1421,True
sphere,10,random,0.1,1,8.472288910754775e-09,1571,True
sphere,10,random,0.1,2,9.235876033639996e-09,1501,True
sphere,10,random,0.1,3,4.078070107512527e-09,1471,True
sphere,10,random,0.1,4,9.52228453207281e-09,1631,True
sphere,10,random,0.1,5,7.52040550932087e-09,1681,True
sphere,10,random,0.1,6,7.21528133705154e-09,1601,True
sphere,10,random,0.1,7,9.22639726712102e-09,1661,True
sphere,10,random,0.1,8,6.570029513823264e-09,1491,True
sphere,10,random,0.1,9,8.374403500844153e-09,1751,True
sphere,10,random,0.1,10,7.670502538914141e-09,1551,True
sphere,10,random,0.3,1,8.61827446607592e-09,1501,True
sphere,10,random,0.3,2,9.51305605457097e-09,1521,True
sphere,10,random,0.3,3,4.7308424583155554e-09,1491,True
sphere,10,random,0.3,4,9.833601022306364e-09,1531,True
sphere,10,random,0.3,5,7.601588207703366e-09,1651,True
sphere,10,random,0.3,6,8.6032772859657e-09,1521,True
sphere,10,random,0.3,7,9.81267191448445e-09,1571,True
sphere,10,random,0.3,8,5.82900251093111e-09,1641,True
sphere,10,random,0.3,9,6.616859138516109e-09,1651,True
sphere,10,random,0.3,10,9.77548045575478e-09,1521,True
sphere,10,random,0.5,1,9.157654526311203e-09,1401,True
sphere,10,random,0.5,2,4.815499457127044e-09,1431,True
sphere,10,random,0.5,3,9.193854157935566e-09,1571,True
sphere,10,random,0.5,4,7.272275081301543e-09,1431,True
sphere,10,random,0.5,5,6.105526855789738e-09,1471,True
sphere,10,random,0.5,6,9.43220849545821e-09,1431,True
sphere,10,random,0.5,7,6.813113929168068e-09,1641,True
sphere,10,random,0.5,8,7.746139578040883e-09,1441,True
sphere,10,random,0.5,9,5.901633912805239e-09,1511,True
sphere,10,random,0.5,10,9.384394531876973e-09,1621,True
sphere,10,random,1.0,1,6.19746143604048e-09,1421,True
sphere,10,random,1.0,2,8.962852492454579e-09,1501,True
sphere,10,random,1.0,3,6.725603833423951e-09,1471,True
sphere,10,random,1.0,4,7.026148116879684e-09,1431,True
sphere,10,random,1.0,5,6.276069655011154e-09,1501,True
sphere,10,random,1.0,6,4.853518811870398e-09,1611,True
sphere,10,random,1.0,7,9.23897283345549e-09,1431,True
sphere,10,random,1.0,8,9.42121276641795e-09,1461,True
sphere,10,random,1.0,9,8.744558923998266e-09,1591,True
sphere,10,random,1.0,10,8.541282160323346e-09,1491,True
sphere,10,random,2.0,1,9.778390722733283e-09,1491,True
sphere,10,random,2.0,2,9.732049239402805e-09,1371,True
sphere,10,random,2.0,3,9.843874412976475e-09,1421,True
sphere,10,random,2.0,4,9.320437857724995e-09,1461,True
sphere,10,random,2.0,5,3.496493083322429e-09,1661,True
sphere,10,random,2.0,6,6.492212701806539e-09,1531,True
sphere,10,random,2.0,7,9.93586387407039e-09,1511,True
sphere,10,random,2.0,8,8.071857332785832e-09,1551,True
sphere,10,random,2.0,9,9.211259974159752e-09,1581,True
sphere,10,random,2.0,10,8.847624357763664e-09,1561,True
sphere,10,random,5.0,1,7.71479479399766e-09,1571,True
sphere,10,random,5.0,2,9.92583002655418e-09,1521,True
sphere,10,random,5.0,3,7.414876044992038e-09,1491,True
sphere,10,random,5.0,4,5.897875761894329e-09,1561,True
sphere,10,random,5.0,5,6.914730806125135e-09,1571,True
sphere,10,random,5.0,6,4.969629777783401e-09,1611,True
sphere,10,random,5.0,7,7.740378986344858e-09,1621,True
sphere,10,random,5.0,8,8.279784840451762e-09,1581,True
sphere,10,random,5.0,9,8.594809749986823e-09,1621,True
sphere,10,random,5.0,10,9.343110943127325e-09,1491,True
rosenbrock,2,zero,0.1,1,5.672685052204522e-09,697,True
rosenbrock,2,zero,0.1,2,6.332840662726155e-09,511,True
rosenbrock,2,zero,0.1,3,4.562930190039563e-09,667,True
rosenbrock,2,zero,0.1,4,5.898651876410138e-09,541,True
rosenbrock,2,zero,0.1,5,2.506274459698834e-09,817,True
rosenbrock,2,zero,0.1,6,4.323912258816213e-09,589,True
rosenbrock,2,zero,0.1,7,6.443290232431918e-09,799,True
rosenbrock,2,zero,0.1,8,4.1229135515800015e-09,1333,True
rosenbrock,2,zero,0.1,9,6.18782218896901e-09,751,True
rosenbrock,2,zero,0.1,10,5.11273890350096e-09,1147,True
rosenbrock,2,zero,0.3,1,5.898979026407674e-09,559,True
rosenbrock,2,zero,0.3,2,8.621670894473074e-09,499,True
rosenbrock,2,zero,0.3,3,1.3923663471439558e-10,787,True
rosenbrock,2,zero,0.3,4,1.5146327915313133e-09,583,True
rosenbrock,2,zero,0.3,5,1.7815533623088205e-09,781,True
rosenbrock,2,zero,0.3,6,5.631076830985211e-09,583,True
rosenbrock,2,zero,0.3,7,3.1081849272957304e-09,589,True
rosenbrock,2,zero,0.3,8,5.376524854607483e-09,1219,True
rosenbrock,2,zero,0.3,9,3.136428485683183e-10,715,True
rosenbrock,2,zero,0.3,10,6.927746061979821e-10,757,True
rosenbrock,2,zero,0.5,1,6.6101542806626155e-09,487,True
rosenbrock,2,zero,0.5,2,6.087025444510341e-09,427,True
rosenbrock,2,zero,0.5,3,4.843841065783052e-09,445,True
rosenbrock,2,zero,0.5,4,7.525728246263866e-09,733,True
